,0.0,0.03,0.06,0.08,0.11,0.14,0.17,0.19,0.22,0.25,0.28,0.3,0.33,0.36,0.39,0.41,0.44,0.47,0.5,0.52,0.55,0.58,0.61,0.63,0.66,0.69,0.72,0.74,0.77,0.8
100.0,-100.0,-0.9330604358801701,-0.6278720748565622,-0.45134424472694107,-0.32994797676267634,-0.24071943015821662,-0.1733913894459293,-0.12234808288835561,-0.08401584213516002,-0.0558097600022739,-0.035659851468383935,-0.021799108688690425,-0.012686268840676938,-0.006997759416013678,-0.003645309865122429,-0.0017884465711731207,-0.0008249774448688593,-0.00035756567575412546,-0.0001456808529257311,-5.587370335374282e-05,-2.0220833166977097e-05,-6.927224056926791e-06,-2.255099221704556e-06,-7.006928965119793e-07,-2.0879531072539205e-07,-5.996836416962169e-08,-1.6686058139079845e-08,-4.52097287778192e-09,-1.1987507019058428e-09,-3.125675582791431e-10
137.0,-100.0,-0.8651271369120024,-0.5617396567925945,-0.3883035659841142,-0.27128272444762186,-0.18761306080200904,-0.12681984621073011,-0.08297038169125819,-0.05208218911070111,-0.031112343070340803,-0.01754981592817192,-0.009279955137461136,-0.004569847280045312,-0.002084026462226395,-0.0008762176791308335,-0.0003385651999613834,-0.0001200018964242215,-3.899689967777885e-05,-1.1628628405244524e-05,-3.1886180639125313e-06,-8.066658492687984e-07,-1.8910890652815546e-07,-4.1301479366730006e-08,-8.454321518198145e-09,-1.6326909272461355e-09,-2.9952676507425984e-10,-5.256910643300086e-11,-8.888736639419215e-12,-1.45801491305769e-12,-2.3356011239926893e-13
189.0,-100.0,-0.7970928163125661,-0.4961713430477146,-0.3269205225687213,-0.21571148174871313,-0.13922031469530347,-0.08653721041166543,-0.051146124951801604,-0.028406943516775956,-0.014662113009337075,-0.0069595849688163245,-0.003009188421408476,-0.0011754064962646907,-0.0004119128022581975,-0.000128814497750112,-3.58108107404615e-05,-8.830982830715333e-06,-1.9308000365175654e-06,-3.747442035624458e-07,-6.47560595988406e-08,-1.0008282852381742e-08,-1.3918716461383859e-09,-1.7545832181460063e-10,-2.0215968143800317e-11,-2.1482805136193984e-12,-2.1253777362839649e-13,-1.9768713064342836e-14,-1.7357894397959202e-15,-1.4464911998299308e-16,0.0
259.0,-100.0,-0.7285442758023699,-0.43102453747538405,-0.26745483880949467,-0.16392540235509664,-0.09654238297857111,-0.053569619814017325,-0.027530127278744525,-0.012896016927329756,-0.005424842829917468,-0.0020216613377800324,-0.0006595073892922584,-0.00018640825221028512,-4.526255139364089e-05,-9.377793019712321e-06,-1.6497759685362406e-06,-2.457418840352192e-07,-3.097400164309806e-08,-3.3092362436440034e-09,-3.009109607207073e-10,-2.3435327174676928e-11,-1.5763378932041916e-12,-9.252722041579775e-14,-4.773420959438797e-15,-2.4108186663832183e-16,0.0,0.0,0.0,0.0,0.0
356.0,-100.0,-0.6609139965400528,-0.3679831219239036,-0.21190645050040327,-0.11812637640985549,-0.06164826597471895,-0.0293560966428835,-0.012464926363395521,-0.00462070047043766,-0.0014670613951719422,-0.00039225121782566233,-8.702008319793134e-05,-1.5812569299366272e-05,-2.32761631435734e-06,-2.7506702075348274e-07,-2.5924809939717692e-08,-1.9411928820831683e-09,-1.1538356539424151e-10,-5.45732199875265e-12,-2.065589433357632e-13,-6.316344905924077e-15,-1.4464911998299308e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489.0,-100.0,-0.5939959645753792,-0.30724812159165116,-0.16095494658770698,-0.07923159446568054,-0.035144058726147745,-0.013575820593303535,-0.004430556037356545,-0.0011890947993944225,-0.0002563065702538962,-4.3449251678313034e-05,-5.684306733621144e-06,-5.642217668504345e-07,-4.186294385151499e-08,-2.2935036073611525e-09,-9.194867216196293e-11,-2.6834340411861223e-12,-5.694353689997534e-14,-8.678947198979592e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672.0,-100.0,-0.5277474630491898,-0.24930400310889178,-0.1155813291833069,-0.048185890601790966,-0.017112946056423172,-0.004950144945859771,-0.001122053546004399,-0.00019279478056828756,-2.4386111769656037e-05,-2.2103547069188455e-06,-1.4000092490115475e-07,-6.055084963206493e-09,-1.7522702787165444e-10,-3.3366212506605186e-12,-4.127321556848265e-14,-3.375146132936506e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924.0,-100.0,-0.4626420415991118,-0.19521358397790167,-0.07714950478510661,-0.02569661021507752,-0.006722408156866242,-0.001304291781613794,-0.00017900405535021025,-1.668360341289275e-05,-1.0170042120611962e-06,-3.9115012054472894e-08,-9.173046905161018e-10,-1.271002887485162e-11,-1.0120616761477928e-13,-4.3394735994897945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269.0,-100.0,-0.3988901344565168,-0.14591339094420488,-0.04663427393808901,-0.01142134756924064,-0.0019576241570936036,-0.0002188593399644402,-1.5069552619510695e-05,-6.067077715991065e-07,-1.3582875483862371e-08,-1.6103063285092105e-10,-9.64906063034291e-13,-2.7965496530045414e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743.0,-100.0,-0.33689517023367166,-0.10256420576625355,-0.024602107434386428,-0.00393927648140801,-0.00037602924779674173,-1.967004392203713e-05,-5.247724262602385e-07,-6.664085588100196e-09,-3.762535762963276e-11,-8.833239593629008e-14,-9.643274665532873e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2395.0,-100.0,-0.27747734243143507,-0.06651799290190995,-0.010787359113716206,-0.0009603447573600807,-4.098253211377841e-05,-7.569323965591119e-07,-5.507099894212815e-09,-1.4374409865801165e-11,-1.2246958825226918e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3290.0,-100.0,-0.22140190232074913,-0.03869841204467382,-0.00366301762273607,-0.00014516592638628292,-2.053414564766332e-06,-9.106110224936983e-09,-1.1153797209285168e-11,-3.3269297596088534e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4520.0,-100.0,-0.1695774550303909,-0.019392924223349123,-0.0008723055379939082,-1.1353469708680186e-05,-3.5301109905218676e-08,-2.2086474130764826e-11,-2.3626022930555598e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6210.0,-100.0,-0.12316874365879261,-0.007913066506831209,-0.0001274444469837247,-3.598521308413363e-07,-1.399637903601776e-10,-5.930613919302756e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8532.0,-100.0,-0.08342142275933524,-0.002431196555202487,-9.529350844695897e-06,-3.310437361729123e-09,-7.430143129793712e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11721.0,-100.0,-0.05143165137864128,-0.0005042332425575763,-2.8366520898473973e-07,-5.552308254209353e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16103.0,-100.0,-0.02791962504535257,-6.0981272990199996e-05,-2.394511799092206e-09,-9.161110932256239e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22122.0,-100.0,-0.01272072295962893,-3.5131844544776777e-06,-3.5736529419412017e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30392.0,-100.0,-0.004551520847504221,-7.329580459233141e-08,-4.821637332766438e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41753.0,-100.0,-0.0011654353212677102,-3.789468466266922e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57362.0,-100.0,-0.0001882100733225859,-2.891053744727717e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78805.0,-100.0,-1.6131792964906416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108264.0,-100.0,-5.799486141485584e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148735.0,-100.0,-6.3316477199966895e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204336.0,-100.0,-1.3472136871691654e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280722.0,-100.0,-3.037631519642865e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385662.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529832.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727895.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
